timestamp,text
0:00,Hola a todos Soy amigo Gómez y Estos son
0:02,dos de los mejores teléfonos del año y
0:04,en menos de 6 minutos te diré Cuál es el
0:07,mejor para ti Pues bien por un lado
0:08,tenemos el nuevo iPhone 15 promax que
0:11,básicamente tiene el mismo diseño la
0:13,misma buena pantalla aunque con los
0:16,bordes más finos y también la misma Isla
0:18,dinámica es por eso que en relación al
0:21,modelo del año pasado pues Hay pocas
0:23,diferencias visuales pero así que lo
0:25,coges pues lo notarás para empezar los
0:27,bordes son más curvos y al ser un poco
0:29,más leve que antes pues te permite
0:31,sujetarlo un poco mejor en la mano
0:33,principalmente el Pro Max que es el que
0:36,tengo luego tenemos el nuevo botón de
0:38,acción que también es personalizable
0:41,pero lo mejor es un nuevo puerto USB
0:43,tipo c que te permitirá hacer mucho más
0:46,que el Lightning y si sé exactamente lo
0:49,que estás pensando que estas son muy
0:51,pequeñas mejores de una generación a la
0:53,otra pero sabes quién está copiando esta
0:55,estrategia Samsung ya que el s23 Ultra
0:58,también es ID el anterior tiene la
1:01,pantalla un poco más plana o las cámaras
1:03,Pues un poco más grandes pero muy pocas
1:05,personas no darán estas diferencias
1:07,Aunque sí que debo decir que en la mano
1:09,se sienten mejor que el iPhone es por
1:12,eso que creo que Hemos llegado un
1:14,momento en el que los cambios entre
1:15,generaciones son tan mínimos que solo
1:18,nos percataremos de estos cambios pasado
1:20,tres o cuatro generaciones y para que me
1:23,entiendas veamos el tema del rendimiento
1:25,que en el iPhone pues sigue siendo
1:27,estupendo en cualquier tipo de juegos y
1:30,en base más pues vuelve a estar en el
1:32,top pero la diferencia en relación al
1:34,Iphone 14 pro del año pasado es tan
1:37,mínima que casi ni lo notarás y sobre
1:39,esto También es importante detallar que
1:41,mi unidad no ha tenido ningún problema
1:43,de calentamiento Es cierto que en smarts
1:46,puede llegar hasta los 45 grados Celsius
1:48,pero el s23 Ultra también llega a estas
1:52,temperaturas es por eso que en este
1:54,Rango de precios hablar del rendimiento
1:55,de cada uno no tiene mucho sentido Ya
1:58,que en los dos es genial pero donde si
2:01,hay una diferencia es en las cámaras si
2:03,te contaré mi opinión al respecto
2:05,después de este mensaje del patrocinador
2:07,updf es un increíble software para ver y
2:10,editar archivos PDF con él podrás editar
2:12,texto imágenes y también te permitirá
2:15,agregar anotaciones subrayar el texto y
2:18,hasta agregar stickers además también
2:20,tenemos herramientas para reorganizar
2:22,recortar y proteger tus documentos
2:25,inclusive podrás comprimir archivos PDF
2:27,y convertirlos a otros formatos con sus
2:30,últimas actualizaciones Este programa se
2:32,ha vuelto más útil todavía Ya que
2:34,también Integra Inteligencia artificial
2:36,así que podrás resumir Traducir y
2:39,explicar tus archivos de PDF lo que es
2:42,genial para ayudarte a resumir
2:43,documentos muy largos en cuestión de
2:45,segundos dándote los puntos más
2:47,importantes que debes conocer un PDF
2:49,está disponible en Windows Mac inclusive
2:52,Android y iOS y tan solo necesitas una
2:55,licencia para utilizarlo en todas las
2:57,plataformas puedes probar un PDF gratis
2:59,con el enlace que dejaré en la
3:01,descripción pero si adquiere su versión
3:03,Premium Durante este mes de octubre con
3:05,ese enlace tendrás un 67% de descuento
3:08,así como la oportunidad de ganar unos
3:10,dispositivos de Apple
3:12,como te decía antes hay ciertas
3:15,diferencias importantes entre las
3:16,cámaras de ambos teléfonos el Galaxy s23
3:19,Ultra suele aumentar la exposición de
3:21,las escenas con los ajustes que vienen
3:23,por defecto lo que en algunas ocasiones
3:25,pues hace la foto un poco más artificial
3:28,el iPhone ha cambiado un poco su ciencia
3:30,de color y ahora no tiene esta tonalidad
3:32,cálida de antes pero de una forma
3:34,general diría que es más consistente que
3:37,el Samsung durante la noche ambas
3:39,cámaras son geniales Y aunque el s-23
3:41,Ultra nos da unos colores más apelativos
3:43,el iPhone mantiene más los detalles sin
3:46,suavizar la tonalidad de la piel del 15
3:49,Pro también me gusta más con la cámara
3:51,frontal pero luego vemos la telefoto y
3:53,el Samsung pues es mucho mejor aunque la
3:57,Macro pues se la lleva el iPhone cuando
3:58,pasamos al modo vídeo con los dos
4:00,tendremos unos resultados estupendos muy
4:03,buenos en general y también con una
4:05,estabilidad óptima y mira como en el
4:07,último short que hice versus las cámaras
4:10,de los dos el Samsung se ve mucho mejor
4:13,que el último short que hice hace unos
4:15,meses personalmente creo que la cámara
4:17,del iPhone es un poco más constante y a
4:20,prueba de tontos mientras que la del
4:22,s-23 Ultra es más versátil y te dará
4:25,excelente resultados pero debes aprender
4:28,a usarla y esta analogía pues la podría
4:30,Traducir también a su sistema operativo
4:32,con el iPhone todo fluye y es mucho más
4:35,fácil de usar quizás sea algo más
4:37,limitado en cuanto a la personalización
4:38,pero para alguien que no quiero
4:40,problemas es lo mejor con el Samsung
4:42,tenemos mucha más libertad de hacer lo
4:45,que nos apetezca Y si tienes un pc con
4:47,Windows Pues también sería una mejor
4:49,opción así que de una forma general
4:51,diría que la decisión final entre uno y
4:53,el otro dependerá de lo que tú más
4:56,valores si te pillas el iPhone tendrás
4:58,un teléfono para unos cuantos años pero
5:00,para sacarle el máximo potencial deberás
5:03,integrarte en el ecosistema de Apple el
5:05,s23 Ultra es más benevolente en este
5:08,sentido y de una forma general es
5:10,también más equilibrado pero
5:12,que aprendas a sacarle todo el jugo
5:15,necesario Así que final de cuentas
5:17,deberás decidir Con qué ecosistema te
5:19,quieres quedar y con qué accesorios tu
5:22,teléfono funcionará mejor ambos
5:24,teléfonos te darán un excelente pantalla
5:26,un muy buen rendimiento una batería para
5:29,más de un día de uso y una Carga rápida
5:32,que no sé si la podríamos considerar
5:34,rápida Pero si te vale de algo la del
5:37,Samsung es mejor Recuerda también que
5:39,los teléfonos de Apple suelen mantener
5:41,un poco mejor su valorización y reciben
5:43,más actualizaciones por lo que cuando te
5:47,gastas más de 1000 euros en un teléfono
5:48,creo que es importante pero bueno este
5:52,es tan solo mi opinión y si tienes una
5:53,distinta te leeré en los comentarios nos
5:56,vemos en el próximo chao
